title,NEW impact,NEW category
A STING-CASM-GABARAP Pathway Activates LRRK2 at Lysosomes | bioRxiv,Elucidating known PD pathways,Clearance
Lysosomal TBK1 Responds to Amino Acid Availability to Relieve Rab7-Dependent mTORC1 Inhibition | bioRxiv,Elucidating known PD pathways,Clearance
iATPSnFR2: a high dynamic range fluorescent sensor for monitoring intracellular ATP,New method/model to explore PD mechanism,Clearance
Mechanism of human PINK1 activation at the TOM complex in a reconstituted system | bioRxiv,Elucidating known PD pathways,Clearance
Lipid dynamics at membrane contact sites,Elucidating known PD pathways,Clearance
Leucine Rich Repeat Kinase 2: Pathways to Parkinson’s Disease,Elucidating known PD pathways,Clearance
Proteome Landscapes Decode Organelle Vulnerabilities in cortical and dopaminergic-like induced neurons Across Lysosomal Storage Disorders,Elucidating known PD pathways,Clearance
"Rapid LRRK2 Activation Induced by α-synuclein Preformed Fibrils Triggers Rab5 Phosphorylation and Dysregulates Endolysosomal Function, Gene Expression and Synaptic Activity in Neurons",Elucidating known PD pathways,Clearance
"LRRK2, lysosome damage, and Parkinson’s disease",Elucidating known PD pathways,Clearance
Derailed degradation: LRRK2-dependent exocytosis in Parkinson’s disease,Foundational Biology,Clearance
Whole proteome copy number dataset in primary mouse cortical neurons,New method/model to explore PD mechanism,Clearance
The Human Autophagy Core Complexes,Confirmatory results,Clearance
Leucine Rich Repeat Kinase 2: Pathways to Parkinson’s Disease,Elucidating known PD pathways,Clearance
Internalized SNCA/a-synuclein fibrils become truncated and resist degradation in neurons while glial cells rapidly degrade SNCA fibrils,Foundational Biology,"Proteinopathy, Clearance"
Lipid dynamics at membrane contact sites,Elucidating known PD pathways,Clearance
Structural biology of Parkinson’s disease-associated leucine-rich repeat kinase 2 (LRRK2),Foundational Biology,Clearance
Probing the proteome-wide interactomes of Leucine-rich Repeat Kinases 1 and 2 and elucidating perturbation-induced changes in their phosphorylation activity,Elucidating known PD pathways,Clearance
A new selection strategy to enrich dopaminergic neurons facil-itates comparisons between patient iPSC-derived lines,New method/model to explore PD mechanism,Clearance
Proteome Landscapes Decode Organelle Vulnerabilities in cortical and dopaminergic-like induced neurons Across Lysosomal Storage Disorders,Foundational Biology,Clearance
Impaired hematopoiesis and embryonic lethality at midgestation of mice lacking both lipid transfer proteins VPS13A and VPS13C,Foundational Biology,Clearance
Disruption of lysosomal proteolysis in astrocytes facilitates midbrain organoid proteostasis failure in an early-onset Parkinson’s disease model | Nature Communications,Elucidating known PD pathways,"Clearance, PD Risk Factors"
Type-II kinase inhibitors that target Parkinson’s Disease-associated LRRK2,New method/model to explore PD mechanism,Clearance
Reduction of a-synuclein aggregates by PIKfyve inhibition via TFEB-mediated lysosomal biogenesis in a Parkinson disease model | bioRxiv,Elucidating known PD pathways,"Clearance, Proteinopathy"
Phenotypic effect of GBA1 variants in individuals with and without Parkinson's disease: The RAPSODI study - PubMed (nih.gov),Confirmatory results,Clearance
Cryo-electron tomography reveals the microtubule-bound form of inactive LRRK2,Elucidating known PD pathways,Clearance
Endo-IP and Lyso-IP Toolkit for Endolysosomal Profiling of Human Induced Neurons,New method/model to explore PD mechanism,Clearance
Derailed Degradation: LRRK2-Dependent Exocytosis in Parkinson’s Disease  Or  LRRK2 Turns Lysosomal Traffic Inside Out,Foundational Biology,Clearance
BLTP3A is associated with membranes of the late endocytic pathway and is an effector of CASM,Foundational Biology,Clearance
VPS13B is localized at the cis-trans Golgi complex interface and is a functional partner of FAM177A1 | bioRxiv,Foundational Biology,Clearance
Tagless LysoIP method for molecular profiling of lysosomal content in clinical samples,New method/model to explore PD mechanism,Clearance
A novel alpha-synuclein G14R missense variant is associated with atypical neuropathological features,Elucidating known PD pathways,"Proteinopathy, Translational and Clinical Measures of Disease Biology"
A Novel α-Synuclein K58N Missense Variant in a Patient with Parkinson's Disease,Foundational Biology,"Proteinopathy, Translational and Clinical Measures of Disease Biology"
A novel alpha-synuclein G14R missense variant is associated with atypical neuropathological features,Elucidating known PD pathways,"Proteinopathy, Translational and Clinical Measures of Disease Biology"
Soluble and Insoluble Lysates from the Human A53T Mutant α-Synuclein Transgenic Mouse Model Induces α-Synucleinopathy Independent of Injection Site,Foundational Biology,Proteinopathy
A topographical atlas of αSyn dosage and cell-type expression in the mouse brain and periphery | bioRxiv,Elucidating known PD pathways,"Proteinopathy, Methods"
Protocol for CRISPR-based manipulation and visualization of endogenous α-synuclein in cultured mouse hippocampal neurons,New method/model to explore PD mechanism,Methods
Anionic nanoplastic contaminants promote Parkinson’s disease–associated α-synuclein aggregation | Science Advances,Elucidating known PD pathways,Proteinopathy
Hydrophobic tails enable diverse functions of the extracellular chaperone clusterin,Elucidating known PD pathways,Proteinopathy
Serine-129 phosphorylation of α-synuclein is an activity-dependent trigger for physiologic protein-protein interactions and synaptic function: Neuron (cell.com),Elucidating known PD pathways,Proteinopathy
"Introducing PIGMO, a novel PIGmented MOuse model of Parkinson’s disease",New method/model to explore PD mechanism,PD Risk Factors
Sex-dimorphic effects of neuromelanin buildup in rodent nigral dopamine neurons: implications for sex-biased vulnerability in Parkinson’s disease,New method/model to explore PD mechanism,PD Risk Factors
Longitudinal neuromelanin changes in prodromal and early Parkinson’s disease in humans and rat model,New method/model to explore PD mechanism,PD Risk Factors
Standardised TruAI Automated Quantification of Intracellular Neuromelanin Granules in Human Brain Tissue Sections,New method/model to explore PD mechanism,PD Risk Factors
Functional efficacy of the MAO-B inhibitor safinamide in murine substantia nigra pars compacta dopaminergic neurons in vitro: a comparative study with tranylcypromine,Elucidating known PD pathways,PD Risk Factors
Adeno-associated viral vectors for modeling Parkinson’s disease in non-human primates,New method/model to explore PD mechanism,PD Risk Factors
LRRK2-mutant microglia and neuromelanin synergize to drive dopaminergic neurodegeneration in an iPSC-based Parkinson’s disease model,Elucidating known PD pathways,PD Risk Factors
Re-activation of neurogenic 2 niches in aging brain,Elucidating known PD pathways,PD Risk Factors
Genome-wide determinants of mortality and clinical progression in Parkinson's disease - Summary statistics,New target/circuit for PD,"Omics, PD Risk Factors"
LRRK2 R1441C/G and M1646T dual carriers exhibit slower Parkinson’s disease motor decline,Elucidating known PD pathways,PD Risk Factors
MC1R loss-of-function is associated with accelerated motor progression in Parkinson’s disease,New target/circuit for PD,PD Risk Factors
Axonal and Synaptic Dysfunction Cause a Neurodegenerative Cascade,Elucidating known PD pathways,PD Risk Factors
Quantitative pathology and APOE genotype reveal dementia risk and progression in Lewy body disease,Elucidating known PD pathways,PD Risk Factors
Leucine-rich repeat kinase 2 impairs the release sites of Parkinson’s disease vulnerable dopamine axons,Foundational Biology,PD Risk Factors
TDP-43 loss of function drives aberrant splicing in Parkinson’s disease,New target/circuit for PD,PD Risk Factors
Comparative study of enriched dopaminergic neurons from siblings with Gaucher disease discordant for parkinsonism,Elucidating known PD pathways,PD Risk Factors
Genome-wide CRISPR screen identifies neddylation as a regulator of neuronal aging and AD neurodegeneration,New target/circuit for PD,PD Risk Factors
SARS-CoV-2 infection causes dopaminergic neuron senescence: Cell Stem Cell,New target/circuit for PD,PD Risk Factors
Disease progression strikingly differs in research and real-world Parkinson’s populations,Foundational Biology,PD Risk Factors
α-Synuclein driven cell susceptibility in Parkinson’s disease,Elucidating known PD pathways,PD Risk Factors
Standardised TruAI automated quantification of intracellular neuromelanin granules in human brain tissue sections,New method/model to explore PD mechanism,PD Risk Factors
Genome-wide determinants of mortality and clinical progression in Parkinson’s disease,New target/circuit for PD,"Omics, PD Risk Factors"
Review of multi-omics data resources and integrative analysis for human brain disorders,New method/model to explore PD mechanism,Omics
Drug Repurposing for Parkinson’s Disease: A Large-Scale Multi-Cohort Study,Foundational Biology,PD Risk Factors
LINE-1 retrotransposons drive human neuronal transcriptome complexity and functional diversification | Science Advances,New method/model to explore PD mechanism,Omics
Investigation of the genetic aetiology of Lewy body diseases with and without dementia | medRxiv,Elucidating known PD pathways,Omics
Ancestry-specific peripheral immune gene-expression mediates the risk of neurodegenerative disease,Elucidating known PD pathways,Omics
Novel human pluripotent stem cell-derived hypothalamus organoids demonstrate cellular diversity,Foundational Biology,Methods
A Comparative Biochemical and Pathological Evaluation of Brain Samples from Knock-In Murine Models of Gaucher Disease,Foundational Biology,Methods
Single-nucleus multiomic profiling of the aging mouse substantia nigra reveals conserved gene alterations linked to Parkinson’s disease,Foundational Biology,Methods
MAPL orchestrates gasdermin-mediated release of mtDNA from lysosomes that drives pyroptotic cell death,Elucidating known PD pathways,Inflammation & Immune Regulation
"Amyloid-beta, alpha-synuclein and tau aggregated co-pathologies enhance neuropathology and neuroinflammation",Elucidating known PD pathways,"Inflammation & Immune Regulation, Methods"
"Clinical features, genetics and pathology in a large series of movement disorder cases: a retrospective multi-ancestry brain bank cohort study",Foundational Biology,PD Risk Factors
Proteome Landscapes Decode Organelle Vulnerabilities in cortical and dopaminergic-like induced neurons Across Lysosomal Storage Disorders ,Foundational Biology,Clearance
Structural remodeling of the mitochondrial protein biogenesis machinery under proteostatic stress,Elucidating known PD pathways,Clearance
Pheomelanin promotes dopaminergic neurodegeneration in Parkinson’s disease,Elucidating known PD pathways,"PD Risk Factors, Gut & Microbiome"
MAPL regulates gasdermin-mediated release of mtDNA from lysosomes to drive pyroptotic cell death,Elucidating known PD pathways,Clearance
Insights into the regulation of VPS13 family bridge-like lipid transfer proteins from the structure of VPS13C.,Elucidating known PD pathways,Clearance
Melanin pathway dysregulation in dopaminergic neurons and skin melanocytes in Parkinson’s disease at single-nucleus resolution,Elucidating known PD pathways,PD Risk Factors
CNTN2 autoimmunity links LRRK2-modulated immune responses in Parkinson’s disease,Elucidating known PD pathways,"Inflammation & Immune Regulation, PD Risk Factors"
SARS-CoV-2 infection causes dopaminergic neuron senescence.,New target/circuit for PD,"PD Risk Factors, Inflammation & Immune Regulation"
Spatial single-cell multiomics reveals peripheral immune dysfunction in Parkinson’s and inflammatory bowel disease,Foundational Biology,"Gut & Microbiome, Inflammation & Immune Regulation"
The mitochondrial unfolded protein response disrupts neuronal–glial communication and promotes senescence in human microglia.,Foundational Biology,"Inflammation & Immune Regulation, Clearance"
Severe GBA1 variants drive the GBA1-PD clinical phenotype: implications for counselling and clinical trials,Foundational Biology,Gut & Microbiome
