title,id,type,subtype,firstVersionTitle,firstVersionType,firstVersionRrid,firstVersionAccession,firstVersionLink
Mutations in Parkinsonism-linked endocytic proteins synaptojanin1 and auxilin have synergistic effects on dopaminergic axonal pathology,45848579-1adc-4fc3-99bf-09a6779a354c,Published,Original Research,Synergistic effect of mutations in the Parkinson’s disease-linked endocytic proteins synaptojanin 1 (PARK20) and auxilin (PARK19),Preprint,,,https://www.biorxiv.org/content/10.1101/2022.02.28.482419v2?versioned=true
Adeno-associated viral vectors for functional intravenous gene transfer throughout the non-human primate brain,c344f447-03d9-4105-98cf-820f5333c2f8,Published,Original Research,Intravenous functional gene transfer throughout the brain of non-human primates using AAV,Preprint,,,https://www.researchsquare.com/article/rs-1370972/v1
SHIP164 is a chorein motif lipid transfer protein that controls endosome-Golgi membrane traffic,bd4e91ba-7aac-4829-9331-78937205aac5,Published,Original Research,SHIP164 is a Chorein Motif Containing Lipid Transport Protein that Controls Membrane Dynamics and Traffic at the Endosome-Golgi Interface,Preprint,,,https://www.biorxiv.org/content/10.1101/2021.11.04.467353v2
Subcellular and regional localization of mRNA translation in midbrain dopamine neurons,d35cc839-c547-4779-8e99-292dfd7aee04,Published,Original Research,Subcellular and regional localization of mRNA translation in midbrain dopamine neurons,Preprint,,,https://www.biorxiv.org/content/10.1101/2021.07.30.454065v1
Subcellular proteomics of dopamine neurons in the mouse brain,8ee6960d-76d8-4458-9d71-dd4e87efa079,Published,Original Research,Subcellular proteomics of dopamine neurons in the mouse brain reveals axonal enrichment of proteins encoded by Parkinson’s disease-linked genes,Preprint,,,https://www.biorxiv.org/content/10.1101/2021.06.01.446584v2.full
Hydrop enables droplet-based single-cell ATAC-seq and single-cell RNA-seq using dissolvable hydrogel beads,9f736b6b-56bc-466e-a7e5-dd267b58f1a8,Published,Original Research,HyDrop: droplet-based scATAC-seq and scRNA-seq using dissolvable hydrogel beads. Article,Preprint,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE175684
Transcriptional analysis of peripheral memory T cells reveals Parkinson’s disease-specific gene signatures,207f29f2-6c8d-41b3-897c-68064b1a0572,Published,Original Research,Transcriptional analysis of peripheral memory T cells reveals Parkinson’s disease-specific gene signatures,Preprint,,,https://www.biorxiv.org/content/10.1101/2021.05.28.446215v1.full
Peripheral neuronal activation shapes the microbiome and alters gut physiology,f300611e-feb3-4acb-a821-7a9ad4041fc9,Published,Original Research,Neuronal Activation of the Gastrointestinal Tract Shapes the Environment of the Gut in Mice,Preprint,,,https://www.biorxiv.org/content/10.1101/2021.04.12.439539v1
powerEQTL: An R package and shiny application for sample size and power calculation of bulk tissue and single-cell eQTL analysis,69c2e6d5-8e41-4ebc-887f-b986278e35ee,Published,Original Research,powerEQTL: An R package and shiny application for sample size and power calculation of bulk tissue and single-cell eQTL analysis,Preprint,,,https://www.biorxiv.org/content/10.1101/2020.12.15.422954v1
ER-lysosome lipid transfer protein VPS13C/PARK23 prevents aberrant mtDNA-dependent STING signaling,a50a6437-6a9f-48bd-82c7-43da7f69f412,Published,Original Research,ER-lysosome lipid transfer protein VPS13C/PARK23 prevents aberrant mtDNA-dependent STING signaling,Preprint,,,https://www.biorxiv.org/content/10.1101/2021.06.08.447593v2
VPS13D bridges the ER to mitochondria and peroxisomes via Miro,e7fd52b7-2b36-4347-8669-9421db69612f,Published,Original Research,Miro recruits VPS13D to mitochondria,Preprint,,,https://www.biorxiv.org/content/10.1101/2020.10.07.328906v1?versioned=true
Presynaptic autophagy is coupled to the synaptic vesicle cycle via ATG-9,8e49f74d-1431-42da-91d6-0439b28f7efa,Published,Original Research,Presynaptic autophagy is coupled to the synaptic vesicle cycle via ATG-9,Preprint,,,https://www.biorxiv.org/content/10.1101/2020.12.28.424508v1
Oncogenic BRAF V600E induces glial proliferation through ERK and neuronal death through JNK,3474379b-a681-4551-b8ad-1e05b361ad79,Published,Original Research,Oncogenic BRAF V600E induces glial proliferation through ERK and neuronal death through JNK,Preprint,,,https://www.researchsquare.com/article/rs-220057/v2
Multi-modality machine learning predicting Parkinson’s disease,81ce6647-75ee-4401-9a98-9a4d217a70b7,Published,Original Research,Multi-Modality Machine Learning Predicting Parkinson’s Disease,Preprint,,,https://www.biorxiv.org/content/10.1101/2021.03.05.434104v1
